sido_nm,sigun_nm,amtprcp,norm_year,shortage
서울특별시,서울특별시,15.3 ,20.6 ,5.3 
부산광역시,부산광역시,20.3 ,32.4 ,12.1 
부산광역시,기장군,24.4 ,32.0 ,7.6 
대구광역시,대구광역시,11.5 ,21.1 ,9.6 
대구광역시,달성군,11.4 ,22.8 ,11.4 
인천광역시,인천광역시,16.7 ,21.1 ,4.4 
인천광역시,강화군,11.4 ,17.7 ,6.3 
인천광역시,옹진군,13.1 ,20.0 ,6.9 
광주광역시,광주광역시,33.6 ,35.5 ,1.9 
대전광역시,대전광역시,17.8 ,26.8 ,9.0 
울산광역시,울산광역시,17.3 ,33.1 ,15.8 
울산광역시,울주군,21.2 ,32.2 ,11.0 
세종특별자치시,세종시,14.2 ,25.5 ,11.3 
경기도,수원시,15.5 ,22.0 ,6.5 
경기도,성남시,19.8 ,21.6 ,1.8 
경기도,의정부시,11.0 ,31.7 ,20.7 
경기도,안양시,18.5 ,20.3 ,1.8 
경기도,부천시,16.3 ,20.1 ,3.8 
경기도,광명시,18.2 ,19.9 ,1.7 
경기도,평택시,11.8 ,24.3 ,12.5 
경기도,동두천시,9.1 ,22.4 ,13.3 
경기도,안산시,17.8 ,20.9 ,3.1 
경기도,고양시,10.4 ,22.6 ,12.2 
경기도,과천시,24.3 ,20.2 ,-
경기도,구리시,11.1 ,23.5 ,12.4 
경기도,남양주시,12.1 ,19.3 ,7.2 
경기도,오산시,16.7 ,22.6 ,5.9 
경기도,시흥시,22.0 ,20.8 ,-
경기도,군포시,21.3 ,21.2 ,-
경기도,의왕시,17.8 ,21.2 ,3.4 
경기도,하남시,16.4 ,22.3 ,5.9 
경기도,용인시,16.5 ,24.5 ,8.0 
경기도,파주시,8.3 ,25.1 ,16.8 
경기도,이천시,11.1 ,22.9 ,11.8 
경기도,안성시,12.2 ,23.3 ,11.1 
경기도,김포시,11.2 ,19.4 ,8.2 
경기도,화성시,16.3 ,24.5 ,8.2 
경기도,광주시,17.8 ,21.1 ,3.3 
경기도,양주시,8.4 ,29.5 ,21.1 
경기도,포천시,8.8 ,21.2 ,12.4 
경기도,여주시,10.9 ,19.6 ,8.7 
경기도,연천군,6.4 ,26.3 ,19.9 
경기도,가평군,10.4 ,19.0 ,8.6 
경기도,양평군,16.8 ,18.1 ,1.3 
강원도,춘천시,10.2 ,16.3 ,6.1 
강원도,원주시,7.9 ,18.5 ,10.6 
강원도,강릉시,8.9 ,45.0 ,36.1 
강원도,동해시,3.0 ,45.6 ,42.6 
강원도,태백시,6.8 ,26.6 ,19.8 
강원도,속초시,10.5 ,44.2 ,33.7 
강원도,삼척시,5.1 ,34.5 ,29.4 
강원도,홍천군,13.6 ,20.5 ,6.9 
강원도,횡성군,12.4 ,20.6 ,8.2 
강원도,영월군,9.1 ,17.0 ,7.9 
강원도,평창군,11.7 ,28.5 ,16.8 
강원도,정선군,5.9 ,20.9 ,15.0 
강원도,철원군,5.5 ,30.8 ,25.3 
강원도,화천군,6.5 ,23.1 ,16.6 
강원도,양구군,4.9 ,17.2 ,12.3 
강원도,인제군,7.2 ,19.4 ,12.2 
강원도,고성군,9.9 ,26.7 ,16.8 
강원도,양양군,9.1 ,42.4 ,33.3 
충청북도,청주시,13.3 ,25.4 ,12.1 
충청북도,충주시,9.8 ,19.8 ,10.0 
충청북도,제천시,10.5 ,18.4 ,7.9 
충청북도,보은군,15.7 ,25.2 ,9.5 
충청북도,옥천군,17.2 ,25.4 ,8.2 
충청북도,영동군,14.0 ,26.7 ,12.7 
충청북도,증평군,14.4 ,24.7 ,10.3 
충청북도,진천군,12.0 ,26.0 ,14.0 
충청북도,괴산군,11.1 ,20.9 ,9.8 
충청북도,음성군,10.5 ,21.4 ,10.9 
충청북도,단양군,7.9 ,19.5 ,11.6 
충청남도,천안시,15.4 ,25.8 ,10.4 
충청남도,공주시,21.9 ,26.9 ,5.0 
충청남도,보령시,28.3 ,28.2 ,-
충청남도,아산시,14.7 ,24.9 ,10.2 
충청남도,서산시,20.6 ,26.8 ,6.2 
충청남도,논산시,21.3 ,27.9 ,6.6 
충청남도,계룡시,20.0 ,29.3 ,9.3 
충청남도,당진시,19.4 ,25.6 ,6.2 
충청남도,금산군,20.1 ,28.9 ,8.8 
충청남도,부여군,30.1 ,27.3 ,-
충청남도,서천군,28.1 ,28.3 ,0.2 
충청남도,청양군,27.0 ,25.5 ,-
충청남도,홍성군,22.5 ,24.1 ,1.6 
충청남도,예산군,22.7 ,26.2 ,3.5 
충청남도,태안군,21.3 ,27.5 ,6.2 
전라북도,전주시,25.6 ,32.6 ,7.0 
전라북도,군산시,25.6 ,29.2 ,3.6 
전라북도,익산시,24.2 ,25.8 ,1.6 
전라북도,정읍시,37.8 ,38.5 ,0.7 
전라북도,남원시,28.9 ,32.7 ,3.8 
전라북도,김제시,22.4 ,30.4 ,8.0 
전라북도,완주군,24.6 ,31.7 ,7.1 
전라북도,진안군,29.1 ,35.4 ,6.3 
전라북도,무주군,20.5 ,28.9 ,8.4 
전라북도,장수군,32.9 ,35.1 ,2.2 
전라북도,임실군,30.4 ,31.6 ,1.2 
전라북도,순창군,35.9 ,37.6 ,1.7 
전라북도,고창군,29.3 ,42.4 ,13.1 
전라북도,부안군,34.5 ,37.1 ,2.6 
전라남도,목포시,37.2 ,32.8 ,-
전라남도,여수시,21.7 ,25.8 ,4.1 
전라남도,순천시,25.2 ,27.5 ,2.3 
전라남도,나주시,36.4 ,31.9 ,-
전라남도,광양시,22.4 ,28.6 ,6.2 
전라남도,담양군,36.6 ,35.8 ,-
전라남도,곡성군,27.7 ,28.8 ,1.1 
전라남도,구례군,25.3 ,29.7 ,4.4 
전라남도,고흥군,24.6 ,27.6 ,3.0 
전라남도,보성군,26.4 ,25.3 ,-
전라남도,화순군,31.5 ,26.1 ,-
전라남도,장흥군,35.2 ,29.1 ,-
전라남도,강진군,37.0 ,29.7 ,-
전라남도,해남군,35.4 ,32.2 ,-
전라남도,영암군,34.5 ,32.2 ,-
전라남도,무안군,33.0 ,35.4 ,2.4 
전라남도,함평군,37.2 ,38.1 ,0.9 
전라남도,영광군,36.2 ,39.6 ,3.4 
전라남도,장성군,32.2 ,39.3 ,7.1 
전라남도,완도군,39.7 ,33.5 ,-
전라남도,진도군,45.8 ,32.8 ,-
전라남도,신안군,41.8 ,33.8 ,-
경상북도,포항시,20.4 ,30.9 ,10.5 
경상북도,경주시,20.8 ,29.7 ,8.9 
경상북도,김천시,8.5 ,22.5 ,14.0 
경상북도,안동시,6.6 ,18.9 ,12.3 
경상북도,구미시,6.8 ,19.5 ,12.7 
경상북도,영주시,7.2 ,20.0 ,12.8 
경상북도,영천시,11.1 ,22.0 ,10.9 
경상북도,상주시,13.2 ,26.7 ,13.5 
경상북도,문경시,10.0 ,24.2 ,14.2 
경상북도,경산시,14.1 ,23.4 ,9.3 
경상북도,군위군,7.6 ,20.6 ,13.0 
경상북도,의성군,6.4 ,19.4 ,13.0 
경상북도,청송군,9.1 ,23.8 ,14.7 
경상북도,영양군,7.1 ,19.9 ,12.8 
경상북도,영덕군,10.8 ,30.9 ,20.1 
경상북도,청도군,16.7 ,23.5 ,6.8 
경상북도,고령군,11.7 ,22.1 ,10.4 
경상북도,성주군,7.9 ,20.7 ,12.8 
경상북도,칠곡군,8.2 ,17.8 ,9.6 
경상북도,예천군,8.6 ,21.5 ,12.9 
경상북도,봉화군,7.6 ,19.5 ,11.9 
경상북도,울진군,5.0 ,34.7 ,29.7 
경상북도,울릉군,78.1 ,114.2 ,36.1 
경상남도,창원시,14.5 ,29.9 ,15.4 
경상남도,진주시,14.7 ,28.7 ,14.0 
경상남도,통영시,18.3 ,30.9 ,12.6 
경상남도,사천시,15.5 ,30.1 ,14.6 
경상남도,김해시,15.5 ,28.1 ,12.6 
경상남도,밀양시,15.0 ,23.7 ,8.7 
경상남도,거제시,23.6 ,40.5 ,16.9 
경상남도,양산시,18.0 ,29.1 ,11.1 
경상남도,의령군,15.0 ,25.6 ,10.6 
경상남도,함안군,12.6 ,27.0 ,14.4 
경상남도,창녕군,16.3 ,25.7 ,9.4 
경상남도,고성군,16.5 ,30.7 ,14.2 
경상남도,남해군,19.8 ,32.8 ,13.0 
경상남도,하동군,25.0 ,29.8 ,4.8 
경상남도,산청군,21.3 ,28.3 ,7.0 
경상남도,함양군,23.0 ,26.8 ,3.8 
경상남도,거창군,14.7 ,24.2 ,9.5 
경상남도,합천군,14.6 ,21.4 ,6.8 
제주특별자치도,제주시,103.6 ,65.0 ,-
제주특별자치도,서귀포시,99.6 ,64.8 ,-
